,ZaggSC,TANGO
AKAP3,2.62,2.92
AKAP4,-1.81,2.93
AKAP5,-0.25,3
AKAP6,0.14,3.35
AKAP7,1.17,3.37
AKAP8,-0.45,3.44
AKAP8L,-1.04,4.07
AKAP9,0.07,3.42
AKIP1,-1.04,3.99
AKIRIN1,-0.1,4.09
AKIRIN2,-0.35,4.15
AKNA,-0.34,4.14
AKNAD1,-2.61,4.13
AKR1A1,-0.31,3.32
AKR1B1,0.33,3.11
AKR1B10,-0.04,3.69
AKR1B15,1.15,1.99
AKR1C1,-3.57,4.16
AKR1C2,-3.5,4.15
AKR1C3,-1.08,2.89
AKR1C4,1.37,3.41
AKR1C8P,-0.01,3.36
AKR1D1,-1.48,3.09
AKR1E2,0.07,3.59
AKR7A2,-3.01,3.8
AKR7A3,—,3.73
AKR7L,-2.78,3.72
AKT1,-1.26,4.04
AKT1S1,-2.31,4.01
AKT2,-2.31,4.01
AKT3,-2.91,4.1
AKTIP,-2.33,4.06
ALAD,1.15,3.15
ALAS1,1.38,2.32
ALAS2,0.47,2.68
ALB,—,3.88
ALCAM,3.36,1.91
ALDH16A1,1.18,3.48
ALDH18A1,-3.19,3.92
ALDH1A1,-1.76,4.13
ALDH1A2,-1.31,4.05
ALDH1A3,-2.47,4.12
ALDH1B1,-1.62,4.14
ALDH1L1,-2.97,4.04
ALDH1L2,-0.94,4.25
ALDH2,0.37,2.8
ALDH3A1,-1.86,4.14
ALDH3A2,-1.66,4.16
ALDH3B1,0.14,3.41
ALDH3B2,-0.76,4.17
ALDH4A1,-0.94,4.11
ALDH5A1,0.85,2.99
ALDH6A1,-1.33,1.8
ALDH7A1,-2.54,4.12
ALDH8A1,-1.13,2.76
ALDH9A1,-1.77,4.74
ALDOA,1.15,3.55
ALDOB,1.12,2.84
ALDOC,0.95,2.39
ALG1,0.53,2.43
ALG10,-0.14,3.55
ALG10B,-0.01,3.48
ALG11,0.79,3.28
ALG12,0.24,3.19
ALG13,0.18,2.46
ALG14,-0.61,3.11
ALG1L,0.62,2.7
ALG1L2,0.12,3.66
ALG2,0.47,1.83
ALG3,-0.06,3.44
ALG5,—,3.33
ALG6,0.41,3.3
ALG8,-3.37,3.8
ALG9,1.38,3.33
ALK,-0.8,2.61
ALKAL1,0.64,1.71
ALKAL2,3.66,2.57
ALKBH1,1.52,2.53
ALKBH2,-1.07,3.17
ALKBH3,2.7,2.7
ALKBH4,0.61,2.86
ALKBH5,0.6,1.54
ALKBH6,0.07,2.96
ALKBH7,0.48,3.43
ALKBH8,0.38,2.98
ALLC,-0.52,2.61
ALMS1,-0.61,3
ALOX12,-1.66,1.96
ALOX12B,-2.41,3.62
ALOX15,0.51,1.47
ALOX15B,1.58,3.61
ALOX5,-0.35,3.48
ALOX5AP,-0.27,4.19
ALOXE3,0.46,1.77
ALPG,-0.56,3.55
ALPI,-0.57,3.53
ALPK1,-0.77,3
ALPK2,-0.34,3.01
ALPK3,-1.18,3.02
ALPL,-0.58,3.58
ALPP,-1.87,3.09
ALS2,—,—
ALS2CL,-3.1,4.06
ALX1,1.3,3.24
ALX3,3.36,2.49
ALX4,0.31,3.19
ALYREF,2.06,1.6
AMACR,3.08,—
AMBN,1.05,2.7
AMBP,4.41,1.07
AMBRA1,-0.69,3.16
AMD1,0.91,2.86
AMDHD1,-0.28,1.1
AMDHD2,-0.03,3.51
AMELX,2.26,2.96
AMELY,0.9,3.32
AMER1,1.46,3.21
AMER2,3.16,2.58
AMER3,1.35,3.36
AMFR,2.72,3.41
AMH,-0.34,3.53
AMHR2,0.71,3.28
AMIGO1,-1.4,3.02
AMIGO2,-0.85,2.73
AMIGO3,0.45,3.17
AMMECR1,0.98,2.9
AMMECR1L,2.05,2.45
AMN,0.87,0.3
AMN1,1.64,1.48
AMOT,1.57,2.53
AMOTL1,—,0.97
AMOTL2,0.44,1.7
AMPD1,1.26,3.64
AMPD2,1.53,1.26
AMPD3,0.53,2.87
AMPH,0.52,2.55
AMT,-0.35,3.49
AMTN,-0.15,3.21
AMY2A,-0.28,3.19
AMY2B,-0.77,3.17
AMZ1,-0.12,3.49
AMZ2,-0.32,3.04
ANAPC1,0.65,3.3
ANAPC10,2.15,2.91
ANAPC11,-0.07,2.84
ANAPC13,1.17,1.72
ANAPC15,0.19,2.55
ANAPC16,1.06,2.97
ANAPC2,-2.09,3.61
ANAPC4,1.07,1.95
ANAPC5,-0.86,3.25
ANAPC7,1.23,2.6
ANG,1.03,2.81
ANGEL1,-3.59,3.97
ANGEL2,-0.31,2.67
ANGPT1,-3.23,4.02
ANGPT2,-0.34,3.8
ANGPT4,-0.69,2.82
ANGPTL1,1.06,2.08
ANGPTL2,-0.71,2.31
ANGPTL3,1.58,2.85
ANGPTL4,-0.75,1.71
ANGPTL5,0.06,1.53
ANGPTL6,0.81,3.28
ANGPTL7,-0.37,2.88
ANGPTL8,0.14,3.01
ANHX,0.75,3.64
ANK1,1.7,3.04
ANK2,1.57,3.37
ANK3,1.16,1.76
ANKAR,-0.16,3.76
ANKDD1A,-0.46,3.24
ANKDD1B,-0.57,2.97
ANKEF1,-1.67,3.16
ANKFN1,1.18,1.51
ANKFY1,-3.58,4.11
ANKH,1.6,1.69
ANKHD1,0.47,1.45
ANKIB1,-1.63,3.91
ANKK1,-1.46,3
ANKLE1,-1.24,2.84
ANKLE2,0.19,3.3
ANKMY1,-1.01,3.31
ANKMY2,-1.39,3.6
ANKRA2,0.28,3.09
ANKRD1,-0.03,3.56
ANKRD10,-0.99,3.34
ANKRD11,-0.95,3.06
ANKRD12,-0.56,3.13
ANKRD13A,-1.65,3.6
ANKRD13B,-1.33,3.23
ANKRD13C,-1.82,3.51
ANKRD13D,-0.19,3.02
ANKRD16,0.39,2.53
ANKRD17,0.86,2.68
ANKRD18A,-2.65,3.68
ANKRD18B,-0.57,3.33
ANKRD19P,0.3,2.78
ANKRD2,-1.6,3.01
ANKRD20A1,0.92,3.5
ANKRD20A12P,0.75,3.5
ANKRD20A2P,0.94,3.49
ANKRD20A3P,0.69,3.45
ANKRD20A4P,0.87,3.5
ANKRD20A5P,0.86,3.5
ANKRD20A8P,-0.78,3.31
ANKRD22,0.4,2.21
ANKRD23,2.33,3.32
ANKRD24,2.32,3.43
ANKRD26,2.37,3.4
ANKRD26P1,-2.05,3.22
ANKRD27,2.6,3.18
ANKRD28,2.18,3.31
ANKRD29,—,1.11
ANKRD30A,-1.26,2.9
ANKRD30B,-0.81,2.94
ANKRD30BL,-0.45,3.41
ANKRD31,2.49,2.64
ANKRD33,-1.86,3.6
ANKRD33B,-0.34,3.08
ANKRD34A,-1.17,2.75
ANKRD34B,0.91,0.98
ANKRD34C,-2.55,3.67
ANKRD35,2.4,2.39
ANKRD36,—,4.03
ANKRD36B,-0.27,3.22
ANKRD36BP1,0.82,3.37
ANKRD36C,-3.11,3.56
ANKRD37,—,0.51
ANKRD39,—,1.17
ANKRD40,1.07,2.98
ANKRD40CL,1.4,3.51
ANKRD42,0.68,2.73
ANKRD44,0.67,3.16
ANKRD45,1.29,3.09
ANKRD46,3.46,3.49
ANKRD49,2.69,3.47
ANKRD50,3.37,3.37
ANKRD52,-1.7,3.52
ANKRD53,0.19,3.71
ANKRD54,2.09,1.27
ANKRD55,-0.05,3.22
ANKRD6,-1.18,3.16
ANKRD60,0.95,3.03
ANKRD61,-0.28,2.95
ANKRD62,0.2,3.76
ANKRD63,-0.86,3.03
ANKRD65,-1.5,3.1
ANKRD66,-0.4,2.95
ANKRD7,1.65,1.72
ANKRD9,1.84,1.98
ANKS1A,0.01,3.2
ANKS1B,0.34,3.15
ANKS3,1.41,2.65
ANKS4B,0.48,3
ANKS6,0.14,2.59
ANKUB1,-0.96,3.89
ANKZF1,-1.79,3.48
ANLN,-1.34,3.4
ANO1,0.02,3.53
ANO10,0.03,3.42
ANO2,-0.3,3.72
ANO3,1.15,2.56
ANO4,-0.3,2.92
ANO5,-0.32,3.67
ANO6,-0.06,3.42
ANO7,-2.02,3.87
ANO8,0.8,3.37
ANO9,2.89,2.92
ANOS1,-0.17,3.18
ANP32A,-0.52,2.73
ANP32B,0.27,3.56
ANP32C,-0.58,3.32
ANP32D,0.01,2.99
ANP32E,0.07,2.95
ANPEP,1.37,2.22
ANTXR1,-0.28,3.39
ANTXR2,0.42,3.03
ANTXRL,0.12,3.26
ANXA1,0.9,3.02
ANXA10,-0.03,3.08
ANXA11,0.71,3.39
ANXA13,0.67,2.92
ANXA2,-1.99,3.55
ANXA2P2,0.72,2.93
ANXA2R,-1.7,3.91
ANXA3,0.19,2.83
ANXA4,0.49,3.7
ANXA5,1.6,3.73
ANXA6,1.44,3.71
ANXA7,-1.44,3.94
ANXA8,0.16,3.41
ANXA8L1,3.63,1.69
ANXA9,0.06,3.51
AOAH,0.64,3.6
AOC1,-2.55,3.89
AOC2,-1.44,3.35
AOC3,0.26,3.11
AOPEP,0.99,2.27
AOX1,1.55,1.72
AP1AR,0.52,3.34
AP1B1,-1.8,3.13
AP1G1,0.79,3.3
AP1G2,0.37,3.16
AP1M1,-1.09,3.53
AP1M2,-0.34,3.17
AP1S1,1.07,3.1
AP1S2,1.6,2.8
AP1S3,1.44,3.32
AP2A1,-0.88,3.22
AP2A2,-0.58,3.12
AP2B1,-0.6,2.94
AP2M1,-2.45,3.99
AP2S1,-0.95,4.12
AP3B1,-0.65,4.12
AP3B2,-1.56,4.09
AP3D1,-1.54,4.1
AP3M1,-1.67,4.16
AP3M2,-1.4,4.14
AP3S1,-1.04,4.15
AP3S2,0.15,4.1
AP4B1,-1.1,3.79
AP4E1,-0.57,3.66
AP4M1,0.1,2.89
AP4S1,3.27,2.9
AP5B1,3.49,2.75
AP5M1,0.08,2.91
AP5S1,0.68,3.51
AP5Z1,0.93,3.19
APAF1,-1,3.25
APBA1,1.16,2.68
APBA2,1.93,2.86
APBA3,3.47,3.17
APBB1,—,3.43
APBB1IP,-2.11,3.92
APBB2,0.51,3.34
APBB3,-0.57,3.23
APC,1.63,2.32
APC2,0.27,2.99
APCDD1,0.38,3.84
APCDD1L,-0.67,3.44
APCS,-1.55,4.14
APEH,1.77,3.17
APELA,-0.28,3.53
APEX1,0.23,3.21
APEX2,-1.13,2.74
APH1A,2.24,3
APH1B,0.06,2.41
API5,-0.45,2.95
APIP,-0.27,3.56
APLF,1.19,3.27
APLN,1.16,3.04
APLNR,1.15,2.06
APLP1,1.09,3.35
APLP2,1.28,2.77
APMAP,-0.27,3.57
APOA1,-0.81,3.79
APOA2,-1.26,3.6
APOA4,-0.59,3.25
APOA5,-1.1,3.02
APOB,0.64,3.06
APOBEC1,-1.15,3.4
APOBEC2,1.89,1.14
APOBEC3A,-2.56,3.98
APOBEC3B,-2.5,3.94
APOBEC3C,-2.3,3.83
APOBEC3D,-3.45,3.94
APOBEC3F,-1.23,3.71
APOBEC3G,-2.39,3.85
APOBEC3H,-3.21,3.89
APOBEC4,-1.71,3.36
APOBR,1.42,2.95
APOC1,1.11,3.13
APOC2,0.29,3.12
APOC3,0.96,3.22
APOC4,0.46,3.39
APOD,0.69,3.37
APOE,0.25,2.99
APOF,0.41,3.19
APOH,0.42,3.08
APOL1,-0.78,3.47
APOL2,-0.56,3.48
APOL3,-1.54,3.62
APOL4,-1.57,3.73
APOL5,-0.56,3.51
APOL6,-0.59,3.53
APOLD1,-0.26,2.83
APOM,-0.69,3.72
APOO,-1.37,2.63
APOOL,1.71,1.69
APP,0.54,2.85
APPBP2,1.6,2.8
APPL1,—,3.04
APPL2,-0.51,3.82
APRG1,-0.71,3.17
APRT,0.11,3.43
APTX,-0.45,3.42
AQP1,-1.02,3.63
AQP10,-0.93,2.79
AQP11,-0.41,3.09
AQP12A,-0.5,3.38
AQP12B,-1.23,2.79
AQP2,-0.72,3.67
AQP3,0.92,2.44
AQP4,-1.4,3.6
AQP5,0.72,2.58
AQP6,0.33,2.9
AQP7,-1.07,2.44
AQP7P3,1,2.33
AQP8,0.1,3.07
AQP9,-0.93,3.08
AQR,0.31,3.71
ARAF,-0.26,2.79
ARAP1,-0.6,3.82
ARAP2,-0.84,3.16
ARAP3,-0.83,3.04
ARC,1.04,3.27
ARCN1,2.06,2.94
AREG,-0.22,3.07
AREL1,0.66,3.1
ARF1,0.9,3.1
ARF3,-1.04,3.24
ARF4,-0.13,3.18
ARF5,1.02,2.78
ARF6,0.73,2.79
ARFGAP1,0.31,—
ARFGAP2,1.62,1.26
ARFGAP3,0.13,1.26
ARFGEF1,-0.26,3.19
ARFGEF2,-0.59,3.59
ARFGEF3,-0.49,3.22
ARFIP1,—,4.06
ARFIP2,-0.64,3.56
ARFRP1,-0.67,3.48
ARG1,0.1,2.65
ARG2,-3.24,3.97
ARGFX,0.36,3.16
ARGLU1,-3.63,3.98
ARHGAP1,-3.15,3.46
ARHGAP10,-0.38,3.1
ARHGAP11A,1.15,2.95
ARHGAP11B,-0.39,2.93
ARHGAP12,-1.36,3.15
ARHGAP15,-0.22,3.16
ARHGAP17,-0.84,3.61
ARHGAP18,—,3.37
ARHGAP19,1.41,3.39
ARHGAP20,—,3.24
ARHGAP21,-0.93,3.98
